epoch	time	cpu_used_pct	mem_used_pct	mem_used_mb	mem_total_mb	disk_used_pct	disk_used_gb	disk_total_gb	proc_found	proc_pids	proc_restarted	proc_event
1776934402	2026-04-23 16:53:22	0.00	39.42	1312.51	3329.78	2.07	4.83	233.02	1	1252,1254,1282,1668,1872,1885,1897,1915,1943,1959,1980,2026,2057,2183,2204,2228,2235,2248	0	none
1776934462	2026-04-23 16:54:22	31.94	39.00	1298.76	3329.78	2.07	4.83	233.02	1	1252,1254,1282,1668,1872,1885,1897,1915,1943,1959,1980,2026,2057,2183,2204,2228,2235,2248	0	none
